state,year,lawtotal
Alabama,1991,15
Alaska,1991,10
Arizona,1991,12
Arkansas,1991,15
California,1991,58
Colorado,1991,9
Connecticut,1991,27
Delaware,1991,12
Florida,1991,18
Georgia,1991,12
Hawaii,1991,38
Idaho,1991,5
Illinois,1991,41
Indiana,1991,10
Iowa,1991,18
Kansas,1991,13
Kentucky,1991,8
Louisiana,1991,10
Maine,1991,9
Maryland,1991,17
Massachusetts,1991,55
Michigan,1991,24
Minnesota,1991,15
Mississippi,1991,8
Missouri,1991,16
Montana,1991,3
Nebraska,1991,18
Nevada,1991,8
New Hampshire,1991,7
New Jersey,1991,46
New Mexico,1991,10
New York,1991,35
North Carolina,1991,19
North Dakota,1991,13
Ohio,1991,18
Oklahoma,1991,10
Oregon,1991,16
Pennsylvania,1991,17
Rhode Island,1991,39
South Carolina,1991,21
South Dakota,1991,6
Tennessee,1991,18
Texas,1991,13
Utah,1991,12
Vermont,1991,3
Virginia,1991,12
Washington,1991,10
West Virginia,1991,11
Wisconsin,1991,16
Wyoming,1991,7
Alabama,1992,16
Alaska,1992,11
Arizona,1992,12
Arkansas,1992,15
California,1992,57
Colorado,1992,9
Connecticut,1992,28
Delaware,1992,14
Florida,1992,19
Georgia,1992,15
Hawaii,1992,43
Idaho,1992,5
Illinois,1992,43
Indiana,1992,10
Iowa,1992,18
Kansas,1992,13
Kentucky,1992,8
Louisiana,1992,10
Maine,1992,9
Maryland,1992,23
Massachusetts,1992,56
Michigan,1992,25
Minnesota,1992,15
Mississippi,1992,8
Missouri,1992,16
Montana,1992,3
Nebraska,1992,18
Nevada,1992,8
New Hampshire,1992,7
New Jersey,1992,50
New Mexico,1992,10
New York,1992,35
North Carolina,1992,19
North Dakota,1992,13
Ohio,1992,19
Oklahoma,1992,11
Oregon,1992,16
Pennsylvania,1992,17
Rhode Island,1992,39
South Carolina,1992,21
South Dakota,1992,6
Tennessee,1992,18
Texas,1992,13
Utah,1992,13
Vermont,1992,3
Virginia,1992,12
Washington,1992,11
West Virginia,1992,11
Wisconsin,1992,18
Wyoming,1992,7
Alabama,1993,16
Alaska,1993,11
Arizona,1993,13
Arkansas,1993,14
California,1993,57
Colorado,1993,9
Connecticut,1993,34
Delaware,1993,14
Florida,1993,19
Georgia,1993,15
Hawaii,1993,46
Idaho,1993,5
Illinois,1993,44
Indiana,1993,10
Iowa,1993,18
Kansas,1993,13
Kentucky,1993,8
Louisiana,1993,12
Maine,1993,9
Maryland,1993,24
Massachusetts,1993,56
Michigan,1993,25
Minnesota,1993,22
Mississippi,1993,8
Missouri,1993,16
Montana,1993,3
Nebraska,1993,18
Nevada,1993,8
New Hampshire,1993,7
New Jersey,1993,51
New Mexico,1993,10
New York,1993,35
North Carolina,1993,23
North Dakota,1993,13
Ohio,1993,19
Oklahoma,1993,12
Oregon,1993,16
Pennsylvania,1993,17
Rhode Island,1993,39
South Carolina,1993,21
South Dakota,1993,6
Tennessee,1993,18
Texas,1993,12
Utah,1993,13
Vermont,1993,3
Virginia,1993,13
Washington,1993,12
West Virginia,1993,11
Wisconsin,1993,18
Wyoming,1993,7
Alabama,1994,16
Alaska,1994,8
Arizona,1994,11
Arkansas,1994,14
California,1994,69
Colorado,1994,10
Connecticut,1994,55
Delaware,1994,20
Florida,1994,21
Georgia,1994,14
Hawaii,1994,59
Idaho,1994,6
Illinois,1994,44
Indiana,1994,10
Iowa,1994,18
Kansas,1994,14
Kentucky,1994,9
Louisiana,1994,12
Maine,1994,9
Maryland,1994,25
Massachusetts,1994,67
Michigan,1994,25
Minnesota,1994,23
Mississippi,1994,10
Missouri,1994,16
Montana,1994,3
Nebraska,1994,21
Nevada,1994,8
New Hampshire,1994,7
New Jersey,1994,51
New Mexico,1994,10
New York,1994,35
North Carolina,1994,24
North Dakota,1994,13
Ohio,1994,20
Oklahoma,1994,13
Oregon,1994,16
Pennsylvania,1994,17
Rhode Island,1994,39
South Carolina,1994,21
South Dakota,1994,6
Tennessee,1994,18
Texas,1994,13
Utah,1994,15
Vermont,1994,3
Virginia,1994,15
Washington,1994,25
West Virginia,1994,12
Wisconsin,1994,20
Wyoming,1994,11
Alabama,1995,16
Alaska,1995,8
Arizona,1995,12
Arkansas,1995,10
California,1995,69
Colorado,1995,11
Connecticut,1995,58
Delaware,1995,21
Florida,1995,21
Georgia,1995,10
Hawaii,1995,60
Idaho,1995,6
Illinois,1995,49
Indiana,1995,10
Iowa,1995,19
Kansas,1995,14
Kentucky,1995,9
Louisiana,1995,12
Maine,1995,9
Maryland,1995,25
Massachusetts,1995,67
Michigan,1995,25
Minnesota,1995,29
Mississippi,1995,10
Missouri,1995,16
Montana,1995,4
Nebraska,1995,21
Nevada,1995,7
New Hampshire,1995,7
New Jersey,1995,51
New Mexico,1995,10
New York,1995,35
North Carolina,1995,25
North Dakota,1995,13
Ohio,1995,20
Oklahoma,1995,11
Oregon,1995,16
Pennsylvania,1995,24
Rhode Island,1995,42
South Carolina,1995,20
South Dakota,1995,6
Tennessee,1995,19
Texas,1995,15
Utah,1995,14
Vermont,1995,3
Virginia,1995,14
Washington,1995,25
West Virginia,1995,12
Wisconsin,1995,17
Wyoming,1995,8
Alabama,1996,16
Alaska,1996,8
Arizona,1996,12
Arkansas,1996,10
California,1996,69
Colorado,1996,11
Connecticut,1996,58
Delaware,1996,21
Florida,1996,21
Georgia,1996,10
Hawaii,1996,60
Idaho,1996,6
Illinois,1996,50
Indiana,1996,11
Iowa,1996,19
Kansas,1996,14
Kentucky,1996,6
Louisiana,1996,10
Maine,1996,9
Maryland,1996,46
Massachusetts,1996,67
Michigan,1996,25
Minnesota,1996,32
Mississippi,1996,10
Missouri,1996,16
Montana,1996,4
Nebraska,1996,21
Nevada,1996,7
New Hampshire,1996,7
New Jersey,1996,51
New Mexico,1996,10
New York,1996,41
North Carolina,1996,22
North Dakota,1996,13
Ohio,1996,20
Oklahoma,1996,11
Oregon,1996,16
Pennsylvania,1996,24
Rhode Island,1996,42
South Carolina,1996,18
South Dakota,1996,6
Tennessee,1996,18
Texas,1996,15
Utah,1996,14
Vermont,1996,3
Virginia,1996,14
Washington,1996,24
West Virginia,1996,13
Wisconsin,1996,20
Wyoming,1996,8
Alabama,1997,16
Alaska,1997,8
Arizona,1997,12
Arkansas,1997,11
California,1997,70
Colorado,1997,11
Connecticut,1997,58
Delaware,1997,21
Florida,1997,21
Georgia,1997,11
Hawaii,1997,60
Idaho,1997,6
Illinois,1997,51
Indiana,1997,11
Iowa,1997,19
Kansas,1997,14
Kentucky,1997,6
Louisiana,1997,10
Maine,1997,10
Maryland,1997,46
Massachusetts,1997,67
Michigan,1997,25
Minnesota,1997,32
Mississippi,1997,10
Missouri,1997,16
Montana,1997,5
Nebraska,1997,21
Nevada,1997,7
New Hampshire,1997,7
New Jersey,1997,51
New Mexico,1997,10
New York,1997,41
North Carolina,1997,20
North Dakota,1997,13
Ohio,1997,20
Oklahoma,1997,11
Oregon,1997,16
Pennsylvania,1997,31
Rhode Island,1997,43
South Carolina,1997,18
South Dakota,1997,6
Tennessee,1997,19
Texas,1997,15
Utah,1997,13
Vermont,1997,3
Virginia,1997,15
Washington,1997,24
West Virginia,1997,13
Wisconsin,1997,20
Wyoming,1997,9
Alabama,1998,16
Alaska,1998,8
Arizona,1998,12
Arkansas,1998,11
California,1998,70
Colorado,1998,11
Connecticut,1998,60
Delaware,1998,22
Florida,1998,22
Georgia,1998,11
Hawaii,1998,60
Idaho,1998,6
Illinois,1998,54
Indiana,1998,11
Iowa,1998,19
Kansas,1998,15
Kentucky,1998,6
Louisiana,1998,10
Maine,1998,10
Maryland,1998,46
Massachusetts,1998,99
Michigan,1998,26
Minnesota,1998,32
Mississippi,1998,10
Missouri,1998,17
Montana,1998,5
Nebraska,1998,22
Nevada,1998,7
New Hampshire,1998,7
New Jersey,1998,52
New Mexico,1998,11
New York,1998,42
North Carolina,1998,20
North Dakota,1998,13
Ohio,1998,21
Oklahoma,1998,11
Oregon,1998,16
Pennsylvania,1998,33
Rhode Island,1998,43
South Carolina,1998,18
South Dakota,1998,6
Tennessee,1998,16
Texas,1998,15
Utah,1998,13
Vermont,1998,3
Virginia,1998,15
Washington,1998,24
West Virginia,1998,14
Wisconsin,1998,21
Wyoming,1998,9
Alabama,1999,16
Alaska,1999,7
Arizona,1999,11
Arkansas,1999,13
California,1999,71
Colorado,1999,11
Connecticut,1999,67
Delaware,1999,24
Florida,1999,22
Georgia,1999,11
Hawaii,1999,60
Idaho,1999,6
Illinois,1999,54
Indiana,1999,10
Iowa,1999,19
Kansas,1999,15
Kentucky,1999,6
Louisiana,1999,9
Maine,1999,9
Maryland,1999,46
Massachusetts,1999,100
Michigan,1999,26
Minnesota,1999,32
Mississippi,1999,10
Missouri,1999,17
Montana,1999,5
Nebraska,1999,22
Nevada,1999,7
New Hampshire,1999,7
New Jersey,1999,52
New Mexico,1999,11
New York,1999,43
North Carolina,1999,20
North Dakota,1999,13
Ohio,1999,21
Oklahoma,1999,10
Oregon,1999,16
Pennsylvania,1999,32
Rhode Island,1999,44
South Carolina,1999,18
South Dakota,1999,5
Tennessee,1999,15
Texas,1999,15
Utah,1999,13
Vermont,1999,3
Virginia,1999,15
Washington,1999,24
West Virginia,1999,14
Wisconsin,1999,21
Wyoming,1999,9
Alabama,2000,11
Alaska,2000,7
Arizona,2000,13
Arkansas,2000,13
California,2000,85
Colorado,2000,12
Connecticut,2000,67
Delaware,2000,24
Florida,2000,22
Georgia,2000,11
Hawaii,2000,65
Idaho,2000,7
Illinois,2000,58
Indiana,2000,10
Iowa,2000,19
Kansas,2000,15
Kentucky,2000,6
Louisiana,2000,9
Maine,2000,9
Maryland,2000,49
Massachusetts,2000,100
Michigan,2000,26
Minnesota,2000,32
Mississippi,2000,10
Missouri,2000,17
Montana,2000,5
Nebraska,2000,22
Nevada,2000,7
New Hampshire,2000,15
New Jersey,2000,54
New Mexico,2000,11
New York,2000,60
North Carolina,2000,20
North Dakota,2000,13
Ohio,2000,21
Oklahoma,2000,10
Oregon,2000,24
Pennsylvania,2000,33
Rhode Island,2000,45
South Carolina,2000,17
South Dakota,2000,5
Tennessee,2000,15
Texas,2000,15
Utah,2000,12
Vermont,2000,3
Virginia,2000,14
Washington,2000,24
West Virginia,2000,18
Wisconsin,2000,21
Wyoming,2000,9
Alabama,2001,11
Alaska,2001,7
Arizona,2001,13
Arkansas,2001,13
California,2001,86
Colorado,2001,16
Connecticut,2001,67
Delaware,2001,24
Florida,2001,21
Georgia,2001,11
Hawaii,2001,65
Idaho,2001,7
Illinois,2001,58
Indiana,2001,9
Iowa,2001,19
Kansas,2001,15
Kentucky,2001,6
Louisiana,2001,9
Maine,2001,9
Maryland,2001,49
Massachusetts,2001,100
Michigan,2001,24
Minnesota,2001,32
Mississippi,2001,10
Missouri,2001,17
Montana,2001,5
Nebraska,2001,22
Nevada,2001,7
New Hampshire,2001,15
New Jersey,2001,56
New Mexico,2001,5
New York,2001,61
North Carolina,2001,20
North Dakota,2001,12
Ohio,2001,20
Oklahoma,2001,10
Oregon,2001,24
Pennsylvania,2001,33
Rhode Island,2001,45
South Carolina,2001,18
South Dakota,2001,5
Tennessee,2001,15
Texas,2001,18
Utah,2001,12
Vermont,2001,3
Virginia,2001,14
Washington,2001,24
West Virginia,2001,20
Wisconsin,2001,21
Wyoming,2001,9
Alabama,2002,11
Alaska,2002,7
Arizona,2002,13
Arkansas,2002,13
California,2002,93
Colorado,2002,16
Connecticut,2002,67
Delaware,2002,25
Florida,2002,21
Georgia,2002,11
Hawaii,2002,65
Idaho,2002,7
Illinois,2002,58
Indiana,2002,9
Iowa,2002,19
Kansas,2002,14
Kentucky,2002,6
Louisiana,2002,9
Maine,2002,9
Maryland,2002,50
Massachusetts,2002,100
Michigan,2002,24
Minnesota,2002,32
Mississippi,2002,10
Missouri,2002,17
Montana,2002,5
Nebraska,2002,22
Nevada,2002,7
New Hampshire,2002,15
New Jersey,2002,57
New Mexico,2002,5
New York,2002,60
North Carolina,2002,19
North Dakota,2002,12
Ohio,2002,20
Oklahoma,2002,10
Oregon,2002,24
Pennsylvania,2002,33
Rhode Island,2002,45
South Carolina,2002,18
South Dakota,2002,6
Tennessee,2002,15
Texas,2002,18
Utah,2002,11
Vermont,2002,3
Virginia,2002,14
Washington,2002,24
West Virginia,2002,20
Wisconsin,2002,24
Wyoming,2002,9
Alabama,2003,11
Alaska,2003,5
Arizona,2003,13
Arkansas,2003,13
California,2003,93
Colorado,2003,17
Connecticut,2003,67
Delaware,2003,24
Florida,2003,21
Georgia,2003,11
Hawaii,2003,65
Idaho,2003,7
Illinois,2003,58
Indiana,2003,10
Iowa,2003,19
Kansas,2003,14
Kentucky,2003,6
Louisiana,2003,9
Maine,2003,9
Maryland,2003,54
Massachusetts,2003,100
Michigan,2003,24
Minnesota,2003,31
Mississippi,2003,9
Missouri,2003,12
Montana,2003,5
Nebraska,2003,22
Nevada,2003,10
New Hampshire,2003,12
New Jersey,2003,57
New Mexico,2003,7
New York,2003,60
North Carolina,2003,29
North Dakota,2003,12
Ohio,2003,20
Oklahoma,2003,10
Oregon,2003,24
Pennsylvania,2003,33
Rhode Island,2003,45
South Carolina,2003,18
South Dakota,2003,6
Tennessee,2003,15
Texas,2003,18
Utah,2003,11
Vermont,2003,3
Virginia,2003,14
Washington,2003,24
West Virginia,2003,19
Wisconsin,2003,24
Wyoming,2003,9
Alabama,2004,11
Alaska,2004,5
Arizona,2004,13
Arkansas,2004,13
California,2004,93
Colorado,2004,17
Connecticut,2004,68
Delaware,2004,24
Florida,2004,22
Georgia,2004,11
Hawaii,2004,65
Idaho,2004,7
Illinois,2004,58
Indiana,2004,10
Iowa,2004,19
Kansas,2004,14
Kentucky,2004,6
Louisiana,2004,9
Maine,2004,9
Maryland,2004,54
Massachusetts,2004,100
Michigan,2004,24
Minnesota,2004,31
Mississippi,2004,9
Missouri,2004,12
