state,year,lawtotal
Montana,2004,5
Nebraska,2004,23
Nevada,2004,10
New Hampshire,2004,11
New Jersey,2004,63
New Mexico,2004,10
New York,2004,60
North Carolina,2004,29
North Dakota,2004,12
Ohio,2004,18
Oklahoma,2004,10
Oregon,2004,24
Pennsylvania,2004,33
Rhode Island,2004,45
South Carolina,2004,17
South Dakota,2004,6
Tennessee,2004,15
Texas,2004,18
Utah,2004,11
Vermont,2004,3
Virginia,2004,12
Washington,2004,24
West Virginia,2004,19
Wisconsin,2004,24
Wyoming,2004,9
Alabama,2005,11
Alaska,2005,5
Arizona,2005,13
Arkansas,2005,13
California,2005,93
Colorado,2005,17
Connecticut,2005,69
Delaware,2005,24
Florida,2005,21
Georgia,2005,11
Hawaii,2005,65
Idaho,2005,7
Illinois,2005,60
Indiana,2005,10
Iowa,2005,19
Kansas,2005,11
Kentucky,2005,6
Louisiana,2005,9
Maine,2005,9
Maryland,2005,54
Massachusetts,2005,100
Michigan,2005,24
Minnesota,2005,31
Mississippi,2005,9
Missouri,2005,12
Montana,2005,5
Nebraska,2005,23
Nevada,2005,10
New Hampshire,2005,11
New Jersey,2005,63
New Mexico,2005,10
New York,2005,60
North Carolina,2005,29
North Dakota,2005,12
Ohio,2005,18
Oklahoma,2005,10
Oregon,2005,24
Pennsylvania,2005,33
Rhode Island,2005,45
South Carolina,2005,15
South Dakota,2005,7
Tennessee,2005,15
Texas,2005,18
Utah,2005,11
Vermont,2005,3
Virginia,2005,12
Washington,2005,24
West Virginia,2005,19
Wisconsin,2005,24
Wyoming,2005,9
Alabama,2006,11
Alaska,2006,5
Arizona,2006,13
Arkansas,2006,13
California,2006,93
Colorado,2006,17
Connecticut,2006,69
Delaware,2006,24
Florida,2006,21
Georgia,2006,11
Hawaii,2006,76
Idaho,2006,7
Illinois,2006,61
Indiana,2006,10
Iowa,2006,19
Kansas,2006,11
Kentucky,2006,7
Louisiana,2006,8
Maine,2006,9
Maryland,2006,54
Massachusetts,2006,100
Michigan,2006,23
Minnesota,2006,31
Mississippi,2006,8
Missouri,2006,12
Montana,2006,5
Nebraska,2006,23
Nevada,2006,10
New Hampshire,2006,11
New Jersey,2006,63
New Mexico,2006,10
New York,2006,60
North Carolina,2006,30
North Dakota,2006,12
Ohio,2006,18
Oklahoma,2006,9
Oregon,2006,24
Pennsylvania,2006,36
Rhode Island,2006,45
South Carolina,2006,14
South Dakota,2006,6
Tennessee,2006,15
Texas,2006,18
Utah,2006,11
Vermont,2006,3
Virginia,2006,12
Washington,2006,24
West Virginia,2006,19
Wisconsin,2006,24
Wyoming,2006,9
Alabama,2007,11
Alaska,2007,5
Arizona,2007,13
Arkansas,2007,13
California,2007,93
Colorado,2007,17
Connecticut,2007,70
Delaware,2007,25
Florida,2007,21
Georgia,2007,11
Hawaii,2007,76
Idaho,2007,7
Illinois,2007,61
Indiana,2007,10
Iowa,2007,19
Kansas,2007,7
Kentucky,2007,7
Louisiana,2007,8
Maine,2007,9
Maryland,2007,54
Massachusetts,2007,100
Michigan,2007,23
Minnesota,2007,31
Mississippi,2007,8
Missouri,2007,6
Montana,2007,5
Nebraska,2007,21
Nevada,2007,10
New Hampshire,2007,11
New Jersey,2007,63
New Mexico,2007,10
New York,2007,60
North Carolina,2007,30
North Dakota,2007,12
Ohio,2007,16
Oklahoma,2007,9
Oregon,2007,24
Pennsylvania,2007,36
Rhode Island,2007,45
South Carolina,2007,14
South Dakota,2007,6
Tennessee,2007,14
Texas,2007,17
Utah,2007,11
Vermont,2007,3
Virginia,2007,12
Washington,2007,24
West Virginia,2007,19
Wisconsin,2007,24
Wyoming,2007,9
Alabama,2008,11
Alaska,2008,5
Arizona,2008,13
Arkansas,2008,13
California,2008,93
Colorado,2008,17
Connecticut,2008,70
Delaware,2008,26
Florida,2008,21
Georgia,2008,11
Hawaii,2008,76
Idaho,2008,5
Illinois,2008,61
Indiana,2008,10
Iowa,2008,19
Kansas,2008,6
Kentucky,2008,7
Louisiana,2008,8
Maine,2008,11
Maryland,2008,54
Massachusetts,2008,100
Michigan,2008,23
Minnesota,2008,31
Mississippi,2008,8
Missouri,2008,8
Montana,2008,5
Nebraska,2008,21
Nevada,2008,10
New Hampshire,2008,11
New Jersey,2008,66
New Mexico,2008,10
New York,2008,64
North Carolina,2008,30
North Dakota,2008,12
Ohio,2008,16
Oklahoma,2008,9
Oregon,2008,24
Pennsylvania,2008,37
Rhode Island,2008,45
South Carolina,2008,12
South Dakota,2008,6
Tennessee,2008,15
Texas,2008,19
Utah,2008,11
Vermont,2008,3
Virginia,2008,13
Washington,2008,24
West Virginia,2008,18
Wisconsin,2008,24
Wyoming,2008,9
Alabama,2009,11
Alaska,2009,5
Arizona,2009,13
Arkansas,2009,13
California,2009,93
Colorado,2009,17
Connecticut,2009,70
Delaware,2009,26
Florida,2009,21
Georgia,2009,11
Hawaii,2009,76
Idaho,2009,5
Illinois,2009,61
Indiana,2009,10
Iowa,2009,19
Kansas,2009,6
Kentucky,2009,7
Louisiana,2009,8
Maine,2009,11
Maryland,2009,56
Massachusetts,2009,100
Michigan,2009,23
Minnesota,2009,31
Mississippi,2009,8
Missouri,2009,8
Montana,2009,4
Nebraska,2009,22
Nevada,2009,10
New Hampshire,2009,11
New Jersey,2009,66
New Mexico,2009,10
New York,2009,64
North Carolina,2009,30
North Dakota,2009,12
Ohio,2009,16
Oklahoma,2009,9
Oregon,2009,24
Pennsylvania,2009,37
Rhode Island,2009,45
South Carolina,2009,12
South Dakota,2009,6
Tennessee,2009,24
Texas,2009,20
Utah,2009,11
Vermont,2009,3
Virginia,2009,13
Washington,2009,24
West Virginia,2009,18
Wisconsin,2009,24
Wyoming,2009,9
Alabama,2010,11
Alaska,2010,5
Arizona,2010,11
Arkansas,2010,13
California,2010,93
Colorado,2010,17
Connecticut,2010,70
Delaware,2010,26
Florida,2010,21
Georgia,2010,11
Hawaii,2010,76
Idaho,2010,5
Illinois,2010,66
Indiana,2010,10
Iowa,2010,23
Kansas,2010,8
Kentucky,2010,7
Louisiana,2010,8
Maine,2010,11
Maryland,2010,56
Massachusetts,2010,100
Michigan,2010,23
Minnesota,2010,31
Mississippi,2010,8
Missouri,2010,8
Montana,2010,4
Nebraska,2010,22
Nevada,2010,10
New Hampshire,2010,11
New Jersey,2010,67
New Mexico,2010,10
New York,2010,64
North Carolina,2010,30
North Dakota,2010,12
Ohio,2010,16
Oklahoma,2010,9
Oregon,2010,24
Pennsylvania,2010,37
Rhode Island,2010,45
South Carolina,2010,12
South Dakota,2010,6
Tennessee,2010,24
Texas,2010,20
Utah,2010,11
Vermont,2010,3
Virginia,2010,13
Washington,2010,24
West Virginia,2010,22
Wisconsin,2010,26
Wyoming,2010,10
Alabama,2011,11
Alaska,2011,5
Arizona,2011,11
Arkansas,2011,13
California,2011,94
Colorado,2011,17
Connecticut,2011,70
Delaware,2011,26
Florida,2011,21
Georgia,2011,11
Hawaii,2011,76
Idaho,2011,5
Illinois,2011,66
Indiana,2011,10
Iowa,2011,25
Kansas,2011,8
Kentucky,2011,7
Louisiana,2011,8
Maine,2011,11
Maryland,2011,57
Massachusetts,2011,100
Michigan,2011,23
Minnesota,2011,31
Mississippi,2011,6
Missouri,2011,8
Montana,2011,4
Nebraska,2011,22
Nevada,2011,11
New Hampshire,2011,10
New Jersey,2011,67
New Mexico,2011,10
New York,2011,64
North Carolina,2011,29
North Dakota,2011,13
Ohio,2011,15
Oklahoma,2011,9
Oregon,2011,24
Pennsylvania,2011,36
Rhode Island,2011,45
South Carolina,2011,12
South Dakota,2011,6
Tennessee,2011,24
Texas,2011,20
Utah,2011,11
Vermont,2011,3
Virginia,2011,13
Washington,2011,25
West Virginia,2011,22
Wisconsin,2011,24
Wyoming,2011,9
Alabama,2012,10
Alaska,2012,5
Arizona,2012,11
Arkansas,2012,13
California,2012,95
Colorado,2012,17
Connecticut,2012,70
Delaware,2012,26
Florida,2012,21
Georgia,2012,11
Hawaii,2012,77
Idaho,2012,5
Illinois,2012,66
Indiana,2012,10
Iowa,2012,25
Kansas,2012,8
Kentucky,2012,7
Louisiana,2012,8
Maine,2012,11
Maryland,2012,57
Massachusetts,2012,100
Michigan,2012,20
Minnesota,2012,31
Mississippi,2012,6
Missouri,2012,8
Montana,2012,4
Nebraska,2012,22
Nevada,2012,11
New Hampshire,2012,10
New Jersey,2012,67
New Mexico,2012,10
New York,2012,63
North Carolina,2012,29
North Dakota,2012,13
Ohio,2012,15
Oklahoma,2012,10
Oregon,2012,24
Pennsylvania,2012,36
Rhode Island,2012,45
South Carolina,2012,10
South Dakota,2012,6
Tennessee,2012,24
Texas,2012,20
Utah,2012,11
Vermont,2012,3
Virginia,2012,12
Washington,2012,25
West Virginia,2012,24
Wisconsin,2012,24
Wyoming,2012,9
Alabama,2013,10
Alaska,2013,4
Arizona,2013,11
Arkansas,2013,11
California,2013,99
Colorado,2013,30
Connecticut,2013,83
Delaware,2013,37
Florida,2013,21
Georgia,2013,11
Hawaii,2013,77
Idaho,2013,5
Illinois,2013,64
Indiana,2013,10
Iowa,2013,25
Kansas,2013,8
Kentucky,2013,7
Louisiana,2013,8
Maine,2013,11
Maryland,2013,63
Massachusetts,2013,100
Michigan,2013,20
Minnesota,2013,31
Mississippi,2013,5
Missouri,2013,8
Montana,2013,4
Nebraska,2013,22
Nevada,2013,11
New Hampshire,2013,10
New Jersey,2013,67
New Mexico,2013,10
New York,2013,72
North Carolina,2013,30
North Dakota,2013,14
Ohio,2013,15
Oklahoma,2013,9
Oregon,2013,24
Pennsylvania,2013,36
Rhode Island,2013,45
South Carolina,2013,12
South Dakota,2013,5
Tennessee,2013,24
Texas,2013,20
Utah,2013,11
Vermont,2013,3
Virginia,2013,12
Washington,2013,25
West Virginia,2013,24
Wisconsin,2013,24
Wyoming,2013,9
Alabama,2014,10
Alaska,2014,4
Arizona,2014,11
Arkansas,2014,11
California,2014,100
Colorado,2014,30
Connecticut,2014,84
Delaware,2014,38
Florida,2014,21
Georgia,2014,6
Hawaii,2014,77
Idaho,2014,5
Illinois,2014,64
Indiana,2014,11
Iowa,2014,25
Kansas,2014,8
Kentucky,2014,7
Louisiana,2014,12
Maine,2014,11
Maryland,2014,63
Massachusetts,2014,100
Michigan,2014,20
Minnesota,2014,39
Mississippi,2014,5
Missouri,2014,8
Montana,2014,4
Nebraska,2014,22
Nevada,2014,11
New Hampshire,2014,10
New Jersey,2014,67
New Mexico,2014,10
New York,2014,75
North Carolina,2014,30
North Dakota,2014,14
Ohio,2014,15
Oklahoma,2014,9
Oregon,2014,24
Pennsylvania,2014,36
Rhode Island,2014,43
South Carolina,2014,12
South Dakota,2014,5
Tennessee,2014,24
Texas,2014,20
Utah,2014,11
Vermont,2014,3
Virginia,2014,12
Washington,2014,41
West Virginia,2014,24
Wisconsin,2014,24
Wyoming,2014,9
Alabama,2015,10
Alaska,2015,4
Arizona,2015,11
Arkansas,2015,11
California,2015,102
Colorado,2015,30
Connecticut,2015,84
Delaware,2015,38
Florida,2015,21
Georgia,2015,6
Hawaii,2015,77
Idaho,2015,6
Illinois,2015,64
Indiana,2015,11
Iowa,2015,25
Kansas,2015,7
Kentucky,2015,7
Louisiana,2015,12
Maine,2015,12
Maryland,2015,64
Massachusetts,2015,100
Michigan,2015,21
Minnesota,2015,41
Mississippi,2015,5
Missouri,2015,8
Montana,2015,4
Nebraska,2015,22
Nevada,2015,15
New Hampshire,2015,10
New Jersey,2015,67
New Mexico,2015,10
New York,2015,75
North Carolina,2015,30
North Dakota,2015,14
Ohio,2015,16
Oklahoma,2015,9
Oregon,2015,33
Pennsylvania,2015,36
Rhode Island,2015,43
South Carolina,2015,12
South Dakota,2015,5
Tennessee,2015,24
Texas,2015,20
Utah,2015,11
Vermont,2015,6
Virginia,2015,12
Washington,2015,41
West Virginia,2015,24
Wisconsin,2015,23
Wyoming,2015,9
Alabama,2016,10
Alaska,2016,4
Arizona,2016,11
Arkansas,2016,11
California,2016,104
Colorado,2016,30
Connecticut,2016,89
Delaware,2016,39
Florida,2016,21
Georgia,2016,6
Hawaii,2016,78
Idaho,2016,4
Illinois,2016,64
Indiana,2016,12
Iowa,2016,25
Kansas,2016,7
Kentucky,2016,7
Louisiana,2016,12
Maine,2016,12
Maryland,2016,64
Massachusetts,2016,100
Michigan,2016,21
Minnesota,2016,41
Mississippi,2016,5
Missouri,2016,7
Montana,2016,4
Nebraska,2016,22
Nevada,2016,15
New Hampshire,2016,10
New Jersey,2016,67
New Mexico,2016,10
New York,2016,75
North Carolina,2016,30
North Dakota,2016,14
Ohio,2016,16
Oklahoma,2016,9
Oregon,2016,35
Pennsylvania,2016,36
Rhode Island,2016,43
South Carolina,2016,12
South Dakota,2016,5
Tennessee,2016,22
Texas,2016,18
Utah,2016,11
Vermont,2016,6
Virginia,2016,13
Washington,2016,43
West Virginia,2016,21
Wisconsin,2016,23
Wyoming,2016,9
Alabama,2017,10
Alaska,2017,4
Arizona,2017,11
Arkansas,2017,11
California,2017,106
Colorado,2017,30
Connecticut,2017,89
Delaware,2017,40
Florida,2017,21
Georgia,2017,6
Hawaii,2017,78
Idaho,2017,4
Illinois,2017,64
Indiana,2017,12
Iowa,2017,24
Kansas,2017,7
Kentucky,2017,7
Louisiana,2017,12
Maine,2017,12
Maryland,2017,64
Massachusetts,2017,100
Michigan,2017,21
Minnesota,2017,41
Mississippi,2017,5
Missouri,2017,6
Montana,2017,4
Nebraska,2017,22
Nevada,2017,21
New Hampshire,2017,9
New Jersey,2017,75
New Mexico,2017,10
New York,2017,75
North Carolina,2017,30
North Dakota,2017,13
Ohio,2017,16
Oklahoma,2017,9
Oregon,2017,35
Pennsylvania,2017,36
Rhode Island,2017,43
South Carolina,2017,12
South Dakota,2017,5
Tennessee,2017,22
Texas,2017,18
Utah,2017,13
Vermont,2017,6
Virginia,2017,13
Washington,2017,43
West Virginia,2017,21
Wisconsin,2017,23
Wyoming,2017,9