Year,Depression,Mental Health
2004,89,62
2004,90,67
2004,95,68
2004,96,70
2004,87,63
2004,77,63
2004,75,64
2004,76,63
2004,86,67
2004,95,64
2004,100,64
2004,88,56
2005,85,58
2005,91,63
2005,88,64
2005,95,67
2005,92,65
2005,73,61
2005,70,59
2005,67,57
2005,76,64
2005,92,59
2005,94,60
2005,84,51
2006,87,61
2006,86,63
2006,87,64
2006,85,61
2006,81,58
2006,67,59
2006,65,54
2006,61,54
2006,70,57
2006,78,61
2006,78,54
2006,70,47
2007,69,57
2007,73,57
2007,75,59
2007,75,60
2007,72,60
2007,63,56
2007,59,56
2007,56,55
2007,66,58
2007,74,60
2007,74,56
2007,65,46
2008,66,56
2008,70,60
2008,71,58
2008,72,59
2008,67,56
2008,59,55
2008,58,53
2008,54,51
2008,68,56
2008,76,61
2008,76,52
2008,70,46
2009,67,54
2009,73,55
2009,76,57
2009,72,57
2009,65,52
2009,60,54
2009,60,51
2009,59,49
2009,65,56
2009,70,56
2009,76,54
2009,71,48
2010,70,53
2010,69,54
2010,72,57
2010,70,57
2010,67,51
2010,61,52
2010,58,45
2010,58,47
2010,63,50
2010,68,48
2010,70,48
2010,62,42
2011,68,54
2011,71,54
2011,73,54
2011,75,55
2011,70,52
2011,64,51
2011,62,47
2011,62,48
2011,68,52
2011,70,52
2011,74,50
2011,65,41
2012,70,48
2012,73,50
2012,71,50
2012,73,51
2012,69,50
2012,62,48
2012,63,48
2012,62,48
2012,67,50
2012,71,50
2012,71,47
2012,66,46
2013,72,55
2013,73,54
2013,73,52
2013,77,56
2013,72,52
2013,64,47
2013,64,47
2013,63,48
2013,69,53
2013,75,56
2013,74,53
2013,68,44
2014,74,52
2014,76,54
2014,77,54
2014,79,57
2014,75,56
2014,67,51
2014,66,49
2014,86,51
2014,78,57
2014,81,58
2014,82,52
2014,75,46
2015,75,52
2015,79,55
2015,83,57
2015,83,60
2015,78,54
2015,72,54
2015,74,55
2015,74,54
2015,83,60
2015,88,65
2015,86,57
2015,82,52
2016,80,56
2016,87,61
2016,87,62
2016,92,65
2016,83,58
2016,73,55
2016,70,51
2016,70,55
2016,83,60
2016,88,64
2016,86,60
2016,85,53
2017,88,61
2017,86,66
2017,89,65
2017,92,67
2017,91,67
2017,77,58
2017,80,57
2017,83,59
2017,82,62
2017,93,73
2017,93,68
2017,86,57
2018,88,66
2018,94,79
2018,91,73
2018,93,75
2018,89,76
2018,96,74
2018,85,66
2018,81,67
2018,89,75
2018,98,90
2018,98,76
2018,93,66